year,geo_name,geo,grads_total
2013,"Washoe County, NV","05000US32031",6788
2015,"Chester County, PA","05000US42029",6786
2013,"Snohomish County, WA","05000US53061",6784
2015,"Lafayette Parish, LA","05000US22055",6781
2013,"McLennan County, TX","05000US48309",6780
2014,"Ottawa County, MI","05000US26139",6779
2015,"Will County, IL","05000US17197",6753
2014,"Isabella County","05000US26073",6744
2013,"Chester County, PA","05000US42029",6743
2015,"Warren County, KY","05000US21227",6738
2014,"Whitman County","05000US53075",6728
2015,"Isabella County","05000US26073",6716
2013,"Erie County, PA","05000US42049",6699
2015,"Summit County, OH","05000US39153",6698
2013,"Santa Cruz County, CA","05000US06087",6687
2015,"Santa Cruz County, CA","05000US06087",6684
2014,"Monongalia County, WV","05000US54061",6681
2014,"Kane County, IL","05000US17089",6679
2015,"McLean County, IL","05000US17113",6663
2014,"Montgomery County, TX","05000US48339",6639
2015,"Butte County, CA","05000US06007",6635
2014,"St. Joseph County, IN","05000US18141",6634
2013,"Genesee County, MI","05000US26049",6632
2014,"Lafayette Parish, LA","05000US22055",6632
2013,"Summit County, OH","05000US39153",6629
2013,"Isabella County","05000US26073",6624
2015,"Monterey County, CA","05000US06053",6621
2014,"Santa Cruz County, CA","05000US06087",6618
2014,"Brevard County, FL","05000US12009",6618
2015,"Washington County, AR","05000US05143",6587
2014,"Cache County, UT","05000US49005",6560
2014,"Erie County, PA","05000US42049",6548
2014,"Norfolk County, MA","05000US25021",6546
2015,"Erie County, PA","05000US42049",6510
2014,"Hudson County, NJ","05000US34017",6509
2013,"Monongalia County, WV","05000US54061",6498
2015,"Benton County","05000US41003",6489
2015,"St. Joseph County, IN","05000US18141",6487
2013,"Cache County, UT","05000US49005",6485
2015,"New Hanover County, NC","05000US37129",6471
2013,"DeKalb County, IL","05000US17037",6456
2013,"Grant County","05000US18053",6450
2014,"Dutchess County, NY","05000US36027",6421
2015,"Lee County, AL","05000US01081",6419
2013,"Hudson County, NJ","05000US34017",6413
2013,"Union County, NJ","05000US34039",6412
2014,"San Joaquin County, CA","05000US06077",6397
2014,"McLennan County, TX","05000US48309",6392
2013,"Dutchess County, NY","05000US36027",6391
2015,"Norfolk County, MA","05000US25021",6391
2014,"Benton County","05000US41003",6382
2015,"Cumberland County, NC","05000US37051",6377
2013,"Norfolk County, MA","05000US25021",6350
2013,"San Joaquin County, CA","05000US06077",6331
2014,"Lee County, AL","05000US01081",6316
2014,"DeKalb County, IL","05000US17037",6303
2013,"Lafayette Parish, LA","05000US22055",6302
2015,"Passaic County, NJ","05000US34031",6300
2015,"Riley County","05000US20161",6291
2015,"Weber County, UT","05000US49057",6287
2014,"Union County, NJ","05000US34039",6281
2015,"Forsyth County, NC","05000US37067",6277
2013,"Montgomery County, TX","05000US48339",6250
2015,"Bell County, TX","05000US48027",6227
2013,"Passaic County, NJ","05000US34031",6224
2014,"Washington County, AR","05000US05143",6221
2013,"Monterey County, CA","05000US06053",6213
2015,"Snohomish County, WA","05000US53061",6209
2014,"Bell County, TX","05000US48027",6185
2013,"Forsyth County, NC","05000US37067",6180
2013,"Warren County, KY","05000US21227",6179
2014,"Escambia County, FL","05000US12033",6169
2015,"St. Louis County, MN","05000US27137",6147
2015,"Payne County","05000US40119",6145
2014,"Riley County","05000US20161",6143
2015,"Pickens County, SC","05000US45077",6137
2014,"Forsyth County, NC","05000US37067",6137
2015,"Kern County, CA","05000US06029",6136
2015,"Dutchess County, NY","05000US36027",6123
